"#","Reviewer","Rating","Date","Review Text"
"1","Roger Dacombe","⭐⭐⭐⭐⭐","A year ago","""I have used Joe's service three times now, two for trees that had come down in bad weather. He responded and dealt with the problem very quickly and efficiently. I cannot state his ability to undertake a job highly enough or indeed his prices..."""
"2","Dynamic Sailmakers","⭐⭐⭐⭐⭐","A year ago","""Joe and Mark were super prompt at responding to my request to remove a section of bamboo and flower bed, hard working and effective solution clearly an experienced team. Recommended.."""
"3","Donna Armstrong","⭐⭐⭐⭐⭐","8 months ago","""Joey came to ours due to neighbours tree over lapping our Garden and him and his team were super fast and efficient! Left No leaf behind cleaned up everything, now Garden looks like new! Would highly recommend Joe's little trees service."""
"4","Andrew Leppard","⭐⭐⭐⭐⭐","8 months ago","""Joe and team got my overgrown garden back under control with all associated mess cleared up. Really happy and will certainly be using again."""
"5","Paul Denyer","⭐⭐⭐⭐⭐","11 months ago","""Three tree surgeons were asked for quotes but Joe was the only one that turned up... Very pleasant guy."""
"6","Jacqui Sell","⭐⭐⭐⭐⭐","10 months ago","""A great job, efficient and very tidy."""
"7","Robert Borba","⭐⭐⭐⭐⭐","A year ago","""I had a massive oak tree that needed trimming... They were punctual, professional, and left my yard spotless."""
"8","Teresa Farmer","⭐⭐⭐⭐⭐","7 months ago","""Excellent fast service to remove my tree stump."""
"9","Tanuj Bhatia","⭐⭐⭐⭐⭐","2 years ago","""Joe and his team did an absolute amazing job in grinding all the stumps."""
"10","Malcolm Ayres","⭐⭐⭐⭐⭐","9 months ago","""Hi Joe thank you both so much for your excellent work that you provided today."""
"11","Tara Boddy","⭐⭐⭐⭐⭐","2 years ago","""I messaged Joe and got a reply straight away... very professional and very happy with the outcome."""
"12","Gourav Dhiman","⭐⭐⭐⭐⭐","A year ago","""They showed up on time, worked efficiently, and respected our property."""
"13","Rebecca Carroll","⭐⭐⭐⭐⭐","A year ago","""Quick, efficient and great job done. Reasonably priced."""
"14","Billy Padbury","⭐⭐⭐⭐⭐","A year ago","""Joe's team were on time and got the job done quickly with no problems."""
"15","Kelly Owens","⭐⭐⭐⭐","A year ago","""I found Little Joe's tree services to be very good. Very reasonable prices."""
"16","Sean Terry","⭐⭐⭐⭐⭐","A year ago","""Good company very friendly. Over the moon with the job, left my back garden and drive cleaner than it was before."""
"17","Andrew Hounsome","⭐⭐⭐⭐⭐","A year ago","""Very good service and would recommend."""
"18","Michael Stringer","⭐⭐⭐⭐⭐","11 months ago","""Great work, quick efficient and tidy. Responded quickly and gave a quick fair price."""
"19","Ben Lambe","⭐⭐⭐⭐⭐","11 months ago","""Quick response friendly service reasonable price."""
"20","James Denton","⭐⭐⭐⭐⭐","A year ago","""Prompt. Polite. Excellent service and very reasonable rates."""
"21","Brandon Bibby","⭐⭐⭐⭐⭐","11 months ago","""Turn up on time, very clean and tidy work, very efficient."""
"22","Nathan Cameron","⭐⭐⭐⭐⭐","11 months ago","""Best tree service about, turns up on time and very professional."""
"23","Michael MacDonald","⭐⭐⭐⭐⭐","10 months ago","""Great job! Will definitely use again."""
"24","Patricia Cuss","⭐⭐⭐⭐⭐","A year ago","""Arrived on time. Carried out the agreed work efficiently and cleaned up afterwards."""
"25","Kasey Jones","⭐⭐⭐⭐⭐","11 months ago","""Great service, very friendly workers."""
"26","Marcus Baldwin","⭐⭐⭐⭐⭐","11 months ago","""Fantastic service, will always use this service."""
"27","Tracy Hogan","⭐⭐⭐⭐⭐","2 hours ago","""Joe and Briony removed two very large overgrown conifer trees plus stumps. And left the place spotless."""
"28","Jerard Chilton","⭐⭐⭐⭐⭐","4 weeks ago","""Joe and Dean provided a great service. Massive tree removed in 4-5 hrs. Very professional."""
"29","Paul Chapman","⭐⭐⭐⭐⭐","A month ago","""Super fast quality service."""
"30","Danielle Crabb","⭐⭐⭐⭐⭐","A month ago","""Very friendly and professional. The work carried out was efficiently executed and to a fabulous standard."""
"31","Deborah Wilkinson-Tough","⭐⭐⭐⭐⭐","A month ago","""Excellent efficient job well done... Hedge cutting plus tall conifer beautifully shaped."""
"32","Derris Hodgson","⭐⭐⭐⭐⭐","A month ago","""Very efficient, polite and tidied up after themselves."""
"33","Kevan Padley","⭐⭐⭐⭐⭐","2 months ago","""Great job guys, very neat and tidy, thanks a million."""
"34","Linda Welsh","⭐⭐⭐⭐⭐","2 months ago","""Really polite and respectful of property. Friendly and punctual."""
"35","Helen","⭐⭐⭐⭐⭐","2 months ago","""Great professional service, highly recommended."""
"36","Maria Maharg","⭐⭐⭐⭐⭐","2 months ago","""Joe swiftly responded to my query and came out to survey the trees and gave me a quote the same day."""
"37","John Rose","⭐⭐⭐⭐⭐","2 months ago","""Fast workers, efficient and a good clean up."""
"38","Poppy Callard","⭐⭐⭐⭐⭐","A week ago","(No text — star rating only)"
"39","Jeffery Turner","⭐⭐⭐⭐⭐","11 months ago","(No text — star rating only)"
"40","Tom Martindale","⭐⭐⭐⭐⭐","A year ago","(No text — star rating only)"
"41","Lee Grant","⭐⭐⭐⭐⭐","A year ago","(No text — star rating only)"